Customer_uniq_id,Region,Order_Date,Expected_Delivery_Date,Delivered_Date,product_name,product_main_category,product_subcategory,product_category_filter,product_category_subfilter,product_unique ID,retail_price,discounted_price,product_rating,Brand,product_specifications,description
e71017e224688489edfe856f2308806d,East ,24-10-2021,25-10-2021,25-10-2021,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,Clothing , Women's Clothing , Ethnic Wear , Fabric ,FABEJX2NHNKCYHKA,999,699,4,INDCROWN,"{""product_specification""=>[{""key""=>""Fabric"", ""value""=>""Net""}, {""key""=>""Type"", ""value""=>""Semi-stitched Lehenga Choli Material""}, {""key""=>""Pattern"", ""value""=>""Embroidered""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""key""=>""Color"", ""value""=>""Multicolor""}, {""value""=>""Dry clean or else Normal Hand Wash""}, {""key""=>""Other Details"", ""value""=>""Lehnga Choli is an Indian traditional ware also known as Chaniya Choli. We at Bolly Lounge offers you to attract compliments by this attractive Lehnga Choli made with fine quality material and beautiful work which can be worn for functions, festivals, parties and even office also. This Lehnga Choli ...View More Lehnga Choli is an Indian traditional ware also known as Chaniya Choli. We at Bolly Lounge offers you to attract compliments by this attractive Lehnga Choli made with fine quality material and beautiful work which can be worn for functions, festivals, parties and even office also. This Lehnga Choli is comes with unstitched material so it can be stitched according to your taste and preference. Stunning Self Designed Partywear Salwar Suit Gives A Trendy Look. Suit Having Fine Embroidery Work Over All. A Fine Fabric Used To Make It, It Will Be Comfortable In All Season.""}, {""key""=>""Style Code"", ""value""=>""R C Lehe Bt""}, {""value""=>""1 Lehenga Choli And Duppta Set""}]}","Key Features of Indcrown Net Embroidered Semi-stitched Lehenga Choli Material Ghagra Choli , Ghagra, Choli, Dupatta Set , Lehenga Choli , Lehenga, Choli and Dupatta Set .,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material (Semi-stitched) Price: Rs. 699 We have not authorised any other seller to sell our brand Indcrown . Any seller doing so is selling fake Indcrown Products. Buy original Indcrown products from the seller "" indcrown‘’ only,Specifications of Indcrown Net Embroidered Semi-stitched Lehenga Choli Material (Semi-stitched) Fabric Details Fabric Net Type Semi-stitched Lehenga Choli Material General Details Pattern Embroidered Ideal For Women's Color Multicolor Fabric Care Dry clean or else Normal Hand Wash Additional Details Other Details Lehnga Choli is an Indian traditional ware also known as Chaniya Choli. We at Bolly Lounge offers you to attract compliments by this attractive Lehnga Choli made with fine quality material and beautiful work which can be worn for functions, festivals, parties and even office also. This Lehnga Choli ...View More Lehnga Choli is an Indian traditional ware also known as Chaniya Choli. We at Bolly Lounge offers you to attract compliments by this attractive Lehnga Choli made with fine quality material and beautiful work which can be worn for functions, festivals, parties and even office also. This Lehnga Choli is comes with unstitched material so it can be stitched according to your taste and preference. Stunning Self Designed Partywear Salwar Suit Gives A Trendy Look. Suit Having Fine Embroidery Work Over All. A Fine Fabric Used To Make It, It Will Be Comfortable In All Season. Style Code R C Lehe Bt In the Box 1 Lehenga Choli And Duppta Set"
6286847ee2da18f587503db49511c539,East ,24-10-2021,25-10-2021,25-10-2021,Shopmania Music Band A5 Notebook Spiral Bound,Pens & Stationery , Diaries & Notebooks , Notebooks , Designer ,DIAEJ6Z8BEDTGGYY,499,275,1,SHOPMANIA,"{""product_specification""=>[{""key""=>""Ruling"", ""value""=>""Ruled""}, {""key""=>""Model id"", ""value""=>""NB00664""}, {""key""=>""Type"", ""value""=>""Notebook""}, {""key""=>""GSM"", ""value""=>""75""}, {""key""=>""Cover Type"", ""value""=>""300 GSM Hard Laminated Cover""}, {""key""=>""No. of Pages"", ""value""=>""160""}, {""key""=>""Brand Name"", ""value""=>""Shopmania""}, {""key""=>""Binding"", ""value""=>""Spiral Bound""}, {""key""=>""Color"", ""value""=>""Multicolor""}, {""key""=>""Size"", ""value""=>""A5""}, {""key""=>""Length"", ""value""=>""9 inch""}, {""key""=>""Width"", ""value""=>""6 inch""}, {""value""=>""Can be used as Notepad, Diary, Writing pad""}, {""key""=>""Sales Package"", ""value""=>""1 Notebook""}]}","Specifications of Shopmania Music Band A5 Notebook Spiral Bound (Multicolor) General Ruling Ruled Model id NB00664 Type Notebook GSM 75 Cover Type 300 GSM Hard Laminated Cover No. of Pages 160 Brand Name Shopmania Binding Spiral Bound Color Multicolor Size A5 Dimensions Length 9 inch Width 6 inch Special Features Can be used as Notepad, Diary, Writing pad In the Box Sales Package 1 Notebook"
0686fec9b70e5039583a38119ca0c835,West,24-10-2021,25-10-2021,25-10-2021,Shopmania Music Band A5 Notebook Spiral Bound,Pens & Stationery , Diaries & Notebooks , Notebooks , Designer ,DIAEJ6Z8KQFWDEGH,499,275,2,SHOPMANIA,"{""product_specification""=>[{""key""=>""Ruling"", ""value""=>""Ruled""}, {""key""=>""Model id"", ""value""=>""NB00678""}, {""key""=>""Type"", ""value""=>""Notebook""}, {""key""=>""GSM"", ""value""=>""75""}, {""key""=>""Cover Type"", ""value""=>""300 GSM Hard Laminated Cover""}, {""key""=>""No. of Pages"", ""value""=>""160""}, {""key""=>""Brand Name"", ""value""=>""Shopmania""}, {""key""=>""Binding"", ""value""=>""Spiral Bound""}, {""key""=>""Color"", ""value""=>""Multicolor""}, {""key""=>""Size"", ""value""=>""A5""}, {""key""=>""Length"", ""value""=>""9 inch""}, {""key""=>""Width"", ""value""=>""6 inch""}, {""value""=>""Can be used as Notepad, Diary, Writing pad""}, {""key""=>""Sales Package"", ""value""=>""1 Notebook""}]}","Specifications of Shopmania Music Band A5 Notebook Spiral Bound (Multicolor) General Ruling Ruled Model id NB00678 Type Notebook GSM 75 Cover Type 300 GSM Hard Laminated Cover No. of Pages 160 Brand Name Shopmania Binding Spiral Bound Color Multicolor Size A5 Dimensions Length 9 inch Width 6 inch Special Features Can be used as Notepad, Diary, Writing pad In the Box Sales Package 1 Notebook"
ea2406dc597bee2abb6b867fa668501f,West,24-10-2021,25-10-2021,25-10-2021,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",Pens & Stationery , Diaries & Notebooks , Notebooks , Designer ,DIAEJ8FGHZ3K86JU,1000,837,3,TIARA DIARIES,"{""product_specification""=>[{""key""=>""Ruling"", ""value""=>""ruled""}, {""key""=>""Model id"", ""value""=>""244""}, {""key""=>""Type"", ""value""=>""Notebook""}, {""key""=>""No. of Pages"", ""value""=>""216""}, {""key""=>""Brand Name"", ""value""=>""Tiara Diaries""}, {""key""=>""Binding"", ""value""=>""Hard Bound""}, {""key""=>""Size"", ""value""=>""B5""}, {""key""=>""Color"", ""value""=>""Coffee""}]}","Specifications of Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound (Coffee, Pack of 3) General Ruling ruled Model id 244 Type Notebook No. of Pages 216 Brand Name Tiara Diaries Binding Hard Bound Size B5 Color Coffee"
5935ed077915347dc695744df68c565c,East ,03-09-2021,04-09-2021,04-09-2021,KAJCI Embroidered Women's Waistcoat,Clothing , Women's Clothing , Formal Wear , Waistcoats ,WSCEG2FYDYFDSVZ6,1200,699,5,KAJCI,"{""product_specification""=>[{""key""=>""Pattern"", ""value""=>""Embroidered""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""key""=>""Fabric"", ""value""=>""Art Silk""}, {""value""=>""Waistcoat""}, {""key""=>""Style Code"", ""value""=>""LKOD112""}, {""value""=>""Dry Clean Only""}]}",Specifications of KAJCI Embroidered Women's Waistcoat General Details Pattern Embroidered Ideal For Women's Waistcoat Details Fabric Art Silk In the Box Waistcoat Additional Details Style Code LKOD112 Fabric Care Dry Clean Only
89fcdddaad50084e395d0928a7426afe,East ,03-09-2021,04-09-2021,04-09-2021,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,Pens & Stationery , Office Supplies , Packaging Security Bags , Packman Packaging Security Bags ,PKBEGBTRKKHU26YQ,350,298,4,PACKMAN,"{""product_specification""=>[{""key""=>""Bubble Wrap Present"", ""value""=>""No""}, {""key""=>""Brand"", ""value""=>""Packman""}, {""key""=>""Model Number"", ""value""=>""8 x 10 inches Security Bags Without POD Jacket Courier Bag""}, {""key""=>""Water Resistant"", ""value""=>""Yes""}, {""key""=>""Tamper Proof"", ""value""=>""Yes""}, {""key""=>""Material"", ""value""=>""Plastic""}, {""key""=>""POD Jacket Available"", ""value""=>""No""}, {""key""=>""Color"", ""value""=>""Grey""}, {""key""=>""Size"", ""value""=>""21.59 x 27.95""}, {""key""=>""Weight"", ""value""=>""600 g""}, {""key""=>""Other Dimensions"", ""value""=>""8 x 10""}, {""key""=>""Thickness"", ""value""=>""60 micron""}, {""key""=>""Other Features"", ""value""=>""security bag""}, {""key""=>""Sales Package"", ""value""=>""1 pack contains 100 pcs""}, {""key""=>""Pack of"", ""value""=>""100""}]}","Key Features of Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag Supplying to Over 200 Companies around world International E-commerce Standard Direct From ISO 9002 Factory 60 Microns High Quality Bags Longer Lasting Protection,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag (21.59 x 27.95 Pack of 100) Price: Rs. 298 Courier Bag,Specifications of Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag (21.59 x 27.95 Pack of 100) General Bubble Wrap Present No Brand Packman Model Number 8 x 10 inches Security Bags Without POD Jacket Courier Bag Water Resistant Yes Tamper Proof Yes Material Plastic POD Jacket Available No Color Grey Size 21.59 x 27.95 Dimensions Weight 600 g Other Dimensions 8 x 10 Thickness 60 micron Additional Features Other Features security bag In the Box Sales Package 1 pack contains 100 pcs Pack of 100"
b9b183aa18d3a721d2ac23e7184525b0,East ,03-09-2021,04-09-2021,04-09-2021,Pick Pocket Embroidered Women's Waistcoat,Clothing , Women's Clothing , Formal Wear , Waistcoats ,WSCEFUV4TVWT73ZB,899,899,1,PICK POCKET,"{""product_specification""=>[{""key""=>""Pattern"", ""value""=>""Embroidered""}, {""key""=>""Occasion"", ""value""=>""Casual""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""key""=>""Lining"", ""value""=>""Polyester""}, {""key""=>""Fabric"", ""value""=>""Bengal Silk""}, {""key""=>""Style Code"", ""value""=>""TL-012""}, {""value""=>""First Time Dry Clean""}]}",Specifications of Pick Pocket Embroidered Women's Waistcoat General Details Pattern Embroidered Occasion Casual Ideal For Women's Waistcoat Details Lining Polyester Fabric Bengal Silk Additional Details Style Code TL-012 Fabric Care First Time Dry Clean
dee64864c0419bec80fbbb94d19bc40d,East ,03-09-2021,04-09-2021,04-09-2021,Angelfish Silk Potali Potli,"Bags, Wallets & Belts ", Bags , Pouches and Potlis , Angelfish Pouches and Potlis ,PPSEGFYAGD8FYUXV,999,399,4,ANGELFISH,"{""product_specification""=>[{""key""=>""Closure"", ""value""=>""Velcro""}, {""key""=>""Type"", ""value""=>""Potli""}, {""key""=>""Material"", ""value""=>""Fabric""}, {""key""=>""Style Code"", ""value""=>""AELKABJ01224-A""}, {""key""=>""Ideal For"", ""value""=>""Girls""}, {""key""=>""Bag Size"", ""value""=>""Small""}, {""key""=>""Occasion"", ""value""=>""Party""}, {""key""=>""Color Code"", ""value""=>""Multicolor""}, {""key""=>""Weight"", ""value""=>""200 g""}, {""key""=>""Number of Compartments"", ""value""=>""1""}]}","Angelfish Silk Potali Potli (Multicolor) Price: Rs. 399 Made by silk Fabric with fancy lace adnored and stylish handle also.(set of 2 piece),Specifications of Angelfish Silk Potali Potli (Multicolor) General Closure Velcro Type Potli Material Fabric Style Code AELKABJ01224-A Ideal For Girls Bag Size Small Occasion Party Color Code Multicolor Dimensions Weight 200 g Body Features Number of Compartments 1"
595f55f2c1293f07ea9ec9fa2bb39f46,East ,03-09-2021,04-09-2021,04-09-2021,Oye Boy's Dungaree,Clothing , Kids' Clothing , Boys Wear , Dungarees & Jumpsuits ,DRPEF2XSFBAP4SUZ,899,764,1,OYE,"{""product_specification""=>[{""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 1""}, {""key""=>""Fabric"", ""value""=>""Cotton""}, {""key""=>""Type"", ""value""=>""Dungaree""}, {""key""=>""Pattern"", ""value""=>""Solid""}, {""key""=>""Ideal For"", ""value""=>""Boy's""}, {""value""=>""1 Dungaree""}]}",Specifications of Oye Boy's Dungaree Top Details Number of Contents in Sales Package Pack of 1 Fabric Cotton Type Dungaree General Details Pattern Solid Ideal For Boy's In the Box 1 Dungaree
547b6585272473ae006bcfbdb47b6ae0,West,26-08-2021,27-08-2021,27-08-2021,Nuride Canvas Shoes,Footwear , Women's Footwear , Casual Shoes , Canvas ,SHOEGVQCT2ZSGUHY,1999,1349,2,NURIDE,"{""product_specification""=>[{""key""=>""Occasion"", ""value""=>""Casual""}, {""key""=>""Ideal For"", ""value""=>""Women""}, {""key""=>""Heel Height"", ""value""=>""0.5 inch""}, {""key""=>""Outer Material"", ""value""=>""Canvas""}, {""key""=>""Color"", ""value""=>""Red""}]}","Key Features of Nuride Canvas Shoes Material: Canvas Occasion: Casual Color: Red Heel Height: 0.5,Specifications of Nuride Canvas Shoes General Occasion Casual Ideal For Women Shoe Details Heel Height 0.5 inch Outer Material Canvas Color Red"
